Name,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Noord-Brabant,1068755.00,1087390.00,1111659.00,1138513.00,1148409.00,1168505.00,1192640.00,1219706.00,1242638.00,1267244.00,1289536.00,1309597.00,1332033.00,1354363.00,1377662.00,1401248.00,1425406.00,1456650.00,1484671.00,1512787.00,1543395.00,1575211.00,1605864.00,1638795.00,1670632.00,1700866.00,1725292.00,1753934.00,1787783.00,1819459.00,1850495.00,1879848.00,1910347.00,1940817.00,1967261.00,1991176.00,2011578.00,2030920.00,2051195.00,2071885.00,2085420.00,2093969.00,2103003.00,2112971.00,2124656.00,2139626.00,2156280.00,2172604.00,2189481.00,2209047.00,2225331.00,2243546.00,2259779.00,2276207.00,2290424.00,2304094.00,2319262.00,2337709.00,2356004.00,2375116.00,2391123.00,2400198.00,2406994.00,2411359.00,2415946.00,2419042.00,2424827.00,2434560.00,2444158.00,2454215.00,2463686.00,2471011.00,2479274.00,2488751.00,2498749.00,2512531.00,2528286.00,2544806.00,2562955.00,2573949.00,2592874.00,2626210.00,2644739.00
Limburg,631023.00,643180.00,657514.00,667831.00,671683.00,677623.00,691493.00,708287.00,727874.00,745117.00,758817.00,772528.00,785732.00,801135.00,817580.00,833485.00,849870.00,869326.00,882386.00,894340.00,911568.00,928596.00,937486.00,953815.00,968739.00,980276.00,985738.00,990562.00,998570.00,1012357.00,1022354.00,1030235.00,1038253.00,1043786.00,1051620.00,1055619.00,1060945.00,1065483.00,1069038.00,1073403.00,1077193.00,1080516.00,1083561.00,1085666.00,1088331.00,1091553.00,1095424.00,1099622.00,1103960.00,1109841.00,1115485.00,1119942.00,1125187.00,1130050.00,1133669.00,1136199.00,1137935.00,1139302.00,1141192.00,1142679.00,1143296.00,1141889.00,1139335.00,1136695.00,1131938.00,1127805.00,1123705.00,1122604.00,1122701.00,1122627.00,1123075.00,1121891.00,1120006.00,1117941.00,1116260.00,1117546.00,1117198.00,1116137.00,1117201.00,1115872.00,1118302.00,1128367.00,1133255.00
New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6530349.00,6580807.00,6620715.00,6650735.00,6693206.00,6742690.00,6834156.00,6943461.00,7053755.00,7144292.00,7218529.00,7304244.00,7404032.00,7508353.00,7616168.00,7732858.00,7855316.00,7954476.00,8046748.00,8110610.00,8097062.00,8166704.00,8341199.00,8479314.00
Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4763615.00,4817774.00,4873809.00,4927149.00,4989246.00,5061266.00,5153522.00,5256375.00,5371934.00,5461101.00,5537817.00,5651091.00,5772669.00,5894917.00,6022322.00,6173172.00,6302608.00,6423038.00,6537305.00,6615046.00,6547822.00,6630631.00,6816241.00,6978719.00
Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3571469.00,3653123.00,3743121.00,3829970.00,3918494.00,4007992.00,4111018.00,4219505.00,4328771.00,4404744.00,4476778.00,4568687.00,4652824.00,4719653.00,4777692.00,4845152.00,4926380.00,5006623.00,5088847.00,5165613.00,5215814.00,5320941.00,5460477.00,5583833.00
South Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503461.00,1511567.00,1520399.00,1528189.00,1538804.00,1552529.00,1570619.00,1588665.00,1608902.00,1627322.00,1639614.00,1656725.00,1671488.00,1686945.00,1700668.00,1712843.00,1728673.00,1746137.00,1767395.00,1790355.00,1802601.00,1821215.00,1852972.00,1878011.00
Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906274.00,1928512.00,1952741.00,1979542.00,2011207.00,2050581.00,2106139.00,2171700.00,2240250.00,2290845.00,2353409.00,2425507.00,2486944.00,2517608.00,2540672.00,2555978.00,2585720.00,2617792.00,2659625.00,2712912.00,2749365.00,2791794.00,2883762.00,2965078.00
Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473668.00,474152.00,478534.00,483178.00,486202.00,489302.00,493262.00,498568.00,504353.00,508847.00,511483.00,511724.00,512231.00,513621.00,515117.00,517514.00,526762.00,537291.00,547841.00,557578.00,567239.00,571051.00,573738.00,575496.00
Northern Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201743.00,202251.00,201725.00,202663.00,205905.00,209057.00,213748.00,219874.00,226027.00,229778.00,231292.00,235915.00,241722.00,242894.00,244692.00,245678.00,247412.00,247095.00,246559.00,247428.00,248151.00,250228.00,253062.00,255069.00
Australian Capital Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321538.00,324627.00,327357.00,328940.00,331399.00,335170.00,342644.00,348368.00,354785.00,361766.00,367985.00,376539.00,383257.00,388799.00,395813.00,403104.00,415046.00,426081.00,435730.00,444903.00,452508.00,456915.00,466359.00,473855.00
Stockholm county,,,,,,,,,,,,,,,,,,,,,,,,,,,1427236.00,1453754.00,1477990.00,1486648.00,1485655.00,1485587.00,1489144.00,1493546.00,1500868.00,1512179.00,1519114.00,1524266.00,1528200.00,1535539.00,1544454.00,1551165.00,1562490.00,1578299.00,1593333.00,1606157.00,1617038.00,1629631.00,1641669.00,1654511.00,1669840.00,1686230.00,1708502.00,1725756.00,1744330.00,1762924.00,1783440.00,1803377.00,1823210.00,1838882.00,1850467.00,1860872.00,1872900.00,1889945.00,1918104.00,1949516.00,1981263.00,2019182.00,2054343.00,2091473.00,2127006.00,2163042.00,2198044.00,2231439.00,2269060.00,2308143.00,2344124.00,2377081.00,2391990.00,2415139.00,2440027.00,2454821.00,2473307.00
Uppsala county,,,,,,,,,,,,,,,,,,,,,,,,,,,209521.00,213733.00,217740.00,220916.00,223776.00,226502.00,228680.00,230028.00,233115.00,236091.00,239090.00,241722.00,243585.00,245398.00,247068.00,248103.00,249712.00,251852.00,254938.00,257739.00,260476.00,264738.00,268835.00,273918.00,278610.00,283006.00,286642.00,288475.00,289153.00,290473.00,291413.00,292415.00,294196.00,296627.00,298655.00,300495.00,302564.00,304367.00,319925.00,323270.00,327188.00,331898.00,335882.00,338630.00,341977.00,345481.00,348942.00,354164.00,361373.00,368971.00,376354.00,383713.00,388394.00,395026.00,400682.00,404589.00,407912.00
Södermanland county,,,,,,,,,,,,,,,,,,,,,,,,,,,241932.00,245343.00,248412.00,248696.00,248551.00,249184.00,250727.00,251913.00,251996.00,251933.00,252067.00,252026.00,252536.00,252191.00,251610.00,251000.00,250515.00,249701.00,249479.00,250073.00,251423.00,253363.00,255636.00,256818.00,257858.00,259199.00,259793.00,258700.00,257383.00,256870.00,256269.00,255890.00,256033.00,257220.00,259006.00,260380.00,261070.00,261895.00,263099.00,265190.00,267524.00,269053.00,270738.00,272563.00,274723.00,277569.00,280666.00,283712.00,288097.00,291341.00,294695.00,297540.00,299401.00,301801.00,302566.00,301944.00,301542.00
Östergötland county,,,,,,,,,,,,,,,,,,,,,,,,,,,374300.00,378437.00,382675.00,384025.00,385103.00,385808.00,386012.00,387088.00,389431.00,391337.00,392057.00,392390.00,392789.00,392694.00,392214.00,392310.00,392887.00,393585.00,394753.00,395580.00,396919.00,399506.00,403011.00,406100.00,408268.00,411212.00,415603.00,416443.00,415659.00,414360.00,412411.00,411320.00,411345.00,412363.00,413438.00,414897.00,415990.00,416303.00,417966.00,420809.00,423169.00,427106.00,429642.00,431075.00,433784.00,437848.00,442105.00,445661.00,452105.00,457496.00,461583.00,465495.00,467158.00,469704.00,471912.00,472298.00,472446.00
Jönköping county,,,,,,,,,,,,,,,,,,,,,,,,,,,303602.00,306998.00,309279.00,309454.00,310638.00,311339.00,313048.00,313758.00,314493.00,315853.00,315865.00,316631.00,317759.00,317513.00,316731.00,316502.00,316490.00,316525.00,317212.00,318404.00,320239.00,323065.00,325163.00,326653.00,326852.00,327920.00,329406.00,329595.00,328726.00,328068.00,328059.00,327266.00,327829.00,327824.00,327971.00,328659.00,329297.00,330179.00,331539.00,333610.00,335246.00,336044.00,336866.00,337896.00,339116.00,341235.00,344262.00,347837.00,352735.00,357237.00,360825.00,363599.00,365010.00,367064.00,369113.00,368856.00,370009.00
Kronoberg county,,,,,,,,,,,,,,,,,,,,,,,,,,,162422.00,164953.00,166734.00,167331.00,167429.00,168199.00,168826.00,169438.00,170319.00,171073.00,171434.00,172401.00,173691.00,174169.00,174021.00,174319.00,174265.00,173972.00,173853.00,174116.00,175427.00,176589.00,177882.00,178612.00,178961.00,179649.00,180747.00,180377.00,179655.00,179021.00,178078.00,177149.00,176639.00,176582.00,176978.00,177448.00,178285.00,178443.00,179635.00,180787.00,182224.00,183162.00,183940.00,184654.00,185887.00,187156.00,189128.00,191369.00,194628.00,197519.00,199886.00,201469.00,202263.00,203340.00,204335.00,203686.00,203351.00
Kalmar county,,,,,,,,,,,,,,,,,,,,,,,,,,,239155.00,240298.00,241024.00,240651.00,240180.00,240087.00,240395.00,240724.00,240969.00,241537.00,241340.00,241448.00,241581.00,241098.00,240823.00,240134.00,239380.00,238176.00,237417.00,237356.00,237781.00,239564.00,241102.00,241883.00,241912.00,242528.00,244057.00,243372.00,241896.00,240160.00,238104.00,236501.00,235391.00,234697.00,234627.00,234886.00,234496.00,233944.00,233776.00,233834.00,233397.00,233639.00,233536.00,233090.00,233548.00,233874.00,235598.00,237679.00,242301.00,243536.00,244670.00,245446.00,246010.00,247175.00,247711.00,246667.00,246352.00
Gotland county,,,,,,,,,,,,,,,,,,,,,,,,,,,53876.00,53977.00,53722.00,53720.00,53805.00,53950.00,54174.00,54400.00,54621.00,54791.00,54935.00,55261.00,55346.00,55623.00,55897.00,55987.00,56203.00,56144.00,56174.00,56269.00,56383.00,56840.00,57108.00,57383.00,57578.00,57751.00,58237.00,58120.00,57971.00,57791.00,57643.00,57428.00,57313.00,57412.00,57381.00,57535.00,57661.00,57488.00,57297.00,57122.00,57004.00,57221.00,57269.00,57308.00,57241.00,57161.00,57255.00,57391.00,58003.00,58595.00,59249.00,59686.00,60124.00,61001.00,61173.00,61029.00,60971.00
Blekinge county,,,,,,,,,,,,,,,,,,,,,,,,,,,150665.00,152373.00,153585.00,153960.00,154638.00,154634.00,155144.00,155336.00,154962.00,154565.00,154368.00,154135.00,153542.00,152628.00,152091.00,151884.00,151652.00,150959.00,150258.00,149600.00,149544.00,149960.00,150564.00,151168.00,151266.00,151853.00,153016.00,152737.00,151972.00,151692.00,151414.00,150625.00,150392.00,150017.00,149875.00,149889.00,150335.00,150696.00,151436.00,151900.00,152259.00,152591.00,153227.00,152979.00,152315.00,152757.00,154157.00,156253.00,158453.00,159371.00,159684.00,159606.00,159056.00,158937.00,158740.00,157973.00,157223.00
Skåne county,,,,,,,,,,,,,,,,,,,,,,,,,,,960711.00,971809.00,983753.00,991355.00,996197.00,999947.00,1007685.00,1012083.00,1013623.00,1017504.00,1019721.00,1022050.00,1023479.00,1023630.00,1024635.00,1025814.00,1027470.00,1030494.00,1033684.00,1039550.00,1047167.00,1058015.00,1068587.00,1078225.00,1086689.00,1093367.00,1105986.00,1111731.00,1114368.00,1116603.00,1120426.00,1123786.00,1129424.00,1136571.00,1145090.00,1152697.00,1160919.00,1169464.00,1184500.00,1199357.00,1214758.00,1231062.00,1243329.00,1252933.00,1263088.00,1274069.00,1288908.00,1303627.00,1324565.00,1344689.00,1362164.00,1377827.00,1389336.00,1402425.00,1414324.00,1421781.00,1428626.00
Halland county,,,,,,,,,,,,,,,,,,,,,,,,,,,191606.00,195546.00,200055.00,203848.00,208276.00,212490.00,216318.00,219780.00,222985.00,225032.00,227175.00,229211.00,230924.00,232715.00,234339.00,236319.00,238347.00,240063.00,242250.00,244377.00,247417.00,250959.00,254725.00,257874.00,261172.00,264607.00,268067.00,269338.00,270060.00,271325.00,272539.00,273537.00,275004.00,276653.00,278551.00,281322.00,283788.00,285868.00,288859.00,291393.00,293572.00,296825.00,299484.00,301724.00,304116.00,306840.00,310665.00,314784.00,320333.00,324825.00,329352.00,333848.00,336748.00,340243.00,342805.00,343746.00,345074.00
Västra Götaland county,,,,,,,,,,,,,,,,,,,,,,,,,,,1333196.00,1349898.00,1366708.00,1373088.00,1374869.00,1376948.00,1380332.00,1384484.00,1386501.00,1389139.00,1390181.00,1392028.00,1391774.00,1390805.00,1390269.00,1390152.00,1393219.00,1397122.00,1403503.00,1411372.00,1418954.00,1431259.00,1441293.00,1448056.00,1455645.00,1464073.00,1477370.00,1482501.00,1485014.00,1485611.00,1486918.00,1488709.00,1494641.00,1500857.00,1508230.00,1514992.00,1521895.00,1528455.00,1538284.00,1547298.00,1558130.00,1569458.00,1580297.00,1590604.00,1600447.00,1615084.00,1632012.00,1648682.00,1671783.00,1690782.00,1709814.00,1725881.00,1734443.00,1744859.00,1758656.00,1767016.00,1772821.00
Värmland county,,,,,,,,,,,,,,,,,,,,,,,,,,,284655.00,284039.00,284686.00,284246.00,283677.00,283246.00,283476.00,284249.00,284529.00,284708.00,284892.00,284615.00,284070.00,283175.00,282115.00,281205.00,280499.00,279183.00,278861.00,279402.00,280694.00,282375.00,283110.00,284187.00,284691.00,285220.00,285498.00,284011.00,282147.00,280178.00,278313.00,276600.00,275003.00,273933.00,273419.00,273563.00,273547.00,273288.00,273489.00,273826.00,273374.00,273257.00,273265.00,272736.00,273080.00,273815.00,274691.00,275904.00,279334.00,280399.00,281482.00,282414.00,282885.00,283196.00,283976.00,283548.00,283384.00
Örebro county,,,,,,,,,,,,,,,,,,,,,,,,,,,271864.00,273787.00,275490.00,275202.00,274230.00,273561.00,273604.00,273923.00,273819.00,274207.00,274268.00,274223.00,274356.00,273712.00,273128.00,272138.00,270961.00,270211.00,269620.00,269341.00,270031.00,271523.00,272513.00,273608.00,274325.00,275532.00,276828.00,276417.00,275855.00,275163.00,274584.00,273822.00,273615.00,273137.00,273412.00,273935.00,273920.00,274121.00,275030.00,276067.00,277732.00,278882.00,280230.00,281572.00,283113.00,285395.00,288150.00,291012.00,294941.00,298907.00,302252.00,304805.00,305643.00,306792.00,307772.00,308116.00,308375.00
Västmanland county,,,,,,,,,,,,,,,,,,,,,,,,,,,255478.00,258792.00,261592.00,262692.00,261173.00,260074.00,260132.00,259921.00,260164.00,260330.00,259692.00,259670.00,259538.00,258566.00,257783.00,256976.00,255691.00,254761.00,254423.00,254253.00,254847.00,256510.00,258487.00,259438.00,260096.00,260932.00,261753.00,261101.00,259987.00,258541.00,257661.00,256901.00,256889.00,257957.00,258912.00,260134.00,261005.00,261391.00,248489.00,249193.00,249974.00,251353.00,252756.00,254257.00,256224.00,259054.00,261703.00,264276.00,267629.00,271095.00,273929.00,275845.00,277141.00,278967.00,280713.00,280813.00,281158.00
Dalarna county,,,,,,,,,,,,,,,,,,,,,,,,,,,278996.00,278087.00,277056.00,277284.00,277453.00,278104.00,279159.00,281109.00,283350.00,284034.00,284490.00,285545.00,286968.00,286482.00,286278.00,285610.00,285113.00,283880.00,283191.00,283330.00,284407.00,286667.00,289067.00,290388.00,290245.00,290515.00,291203.00,289956.00,288171.00,285232.00,282898.00,280575.00,278259.00,277010.00,276636.00,276520.00,276042.00,275755.00,275711.00,275618.00,275867.00,276454.00,277047.00,276565.00,276555.00,277349.00,278903.00,281028.00,284531.00,286165.00,287191.00,287966.00,287676.00,288387.00,288310.00,287253.00,286546.00
Gävleborg county,,,,,,,,,,,,,,,,,,,,,,,,,,,293829.00,292762.00,293456.00,293601.00,292922.00,292021.00,292760.00,294412.00,294627.00,294412.00,294288.00,293959.00,294020.00,293657.00,292723.00,291497.00,290533.00,289153.00,287691.00,286907.00,287004.00,288223.00,289294.00,289339.00,289190.00,289612.00,289654.00,288509.00,286789.00,284636.00,282226.00,280717.00,279262.00,278171.00,277012.00,276866.00,276599.00,275994.00,275653.00,275556.00,275908.00,276220.00,276508.00,276130.00,276637.00,277970.00,279991.00,281815.00,284586.00,285637.00,286547.00,287382.00,287502.00,287767.00,287334.00,285642.00,284558.00
Västernorrland county,,,,,,,,,,,,,,,,,,,,,,,,,,,269516.00,267359.00,267403.00,267682.00,267620.00,267273.00,267608.00,268034.00,268237.00,268357.00,268110.00,267895.00,267935.00,267115.00,266038.00,264803.00,263598.00,262314.00,261089.00,260332.00,259964.00,260488.00,261155.00,261280.00,260829.00,260567.00,260295.00,258290.00,256587.00,254354.00,251884.00,249299.00,246903.00,245078.00,244319.00,244105.00,244195.00,243736.00,243978.00,243449.00,243372.00,243042.00,242625.00,242155.00,241981.00,242156.00,243061.00,243897.00,245572.00,245968.00,245453.00,245347.00,244554.00,244193.00,243265.00,242148.00,241458.00
Jämtland county,,,,,,,,,,,,,,,,,,,,,,,,,,,134673.00,132436.00,131289.00,131832.00,132252.00,132542.00,133044.00,133433.00,133752.00,134189.00,134420.00,134653.00,134934.00,134945.00,134865.00,134946.00,134731.00,134190.00,133543.00,133389.00,134116.00,134789.00,135726.00,136009.00,135910.00,136073.00,136301.00,135584.00,134561.00,133143.00,131766.00,130705.00,129566.00,128586.00,127947.00,127645.00,127424.00,127028.00,127020.00,126937.00,126897.00,126666.00,126691.00,126299.00,126201.00,126461.00,126765.00,127376.00,128673.00,129806.00,130280.00,130810.00,131155.00,132054.00,132670.00,132572.00,132839.00
Västerbotten county,,,,,,,,,,,,,,,,,,,,,,,,,,,234447.00,233543.00,233133.00,232856.00,233353.00,233865.00,234875.00,236397.00,237705.00,239247.00,240601.00,241898.00,243856.00,244789.00,245055.00,245252.00,245181.00,245255.00,245204.00,245703.00,247521.00,250134.00,251968.00,253835.00,255987.00,258171.00,259775.00,260472.00,259895.00,259163.00,257803.00,256710.00,255640.00,254818.00,255230.00,255956.00,256875.00,257652.00,257581.00,257593.00,257812.00,258548.00,259286.00,259667.00,260217.00,261112.00,262362.00,263378.00,265881.00,268465.00,270154.00,271736.00,273192.00,274563.00,276295.00,278729.00,281138.00
