Name,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13 Halland county,191606.00,195546.00,200055.00,203848.00,208276.00,212490.00,216318.00,219780.00,222985.00,225032.00,227175.00,229211.00,230924.00,232715.00,234339.00,236319.00,238347.00,240063.00,242250.00,244377.00,247417.00,250959.00,254725.00,257874.00,261172.00,264607.00,268067.00,269338.00,270060.00,271325.00,272539.00,273537.00,275004.00,276653.00,278551.00,281322.00,283788.00,285868.00,288859.00,291393.00,293572.00,296825.00,299484.00,301724.00,304116.00,306840.00,310665.00,314784.00,320333.00,324825.00,329352.00,333848.00,336748.00,340243.00,342805.00,343746.00,345074.00
14 Västra Götaland county,1333196.00,1349898.00,1366708.00,1373088.00,1374869.00,1376948.00,1380332.00,1384484.00,1386501.00,1389139.00,1390181.00,1392028.00,1391774.00,1390805.00,1390269.00,1390152.00,1393219.00,1397122.00,1403503.00,1411372.00,1418954.00,1431259.00,1441293.00,1448056.00,1455645.00,1464073.00,1477370.00,1482501.00,1485014.00,1485611.00,1486918.00,1488709.00,1494641.00,1500857.00,1508230.00,1514992.00,1521895.00,1528455.00,1538284.00,1547298.00,1558130.00,1569458.00,1580297.00,1590604.00,1600447.00,1615084.00,1632012.00,1648682.00,1671783.00,1690782.00,1709814.00,1725881.00,1734443.00,1744859.00,1758656.00,1767016.00,1772821.00
17 Värmland county,284655.00,284039.00,284686.00,284246.00,283677.00,283246.00,283476.00,284249.00,284529.00,284708.00,284892.00,284615.00,284070.00,283175.00,282115.00,281205.00,280499.00,279183.00,278861.00,279402.00,280694.00,282375.00,283110.00,284187.00,284691.00,285220.00,285498.00,284011.00,282147.00,280178.00,278313.00,276600.00,275003.00,273933.00,273419.00,273563.00,273547.00,273288.00,273489.00,273826.00,273374.00,273257.00,273265.00,272736.00,273080.00,273815.00,274691.00,275904.00,279334.00,280399.00,281482.00,282414.00,282885.00,283196.00,283976.00,283548.00,283384.00
18 Örebro county,271864.00,273787.00,275490.00,275202.00,274230.00,273561.00,273604.00,273923.00,273819.00,274207.00,274268.00,274223.00,274356.00,273712.00,273128.00,272138.00,270961.00,270211.00,269620.00,269341.00,270031.00,271523.00,272513.00,273608.00,274325.00,275532.00,276828.00,276417.00,275855.00,275163.00,274584.00,273822.00,273615.00,273137.00,273412.00,273935.00,273920.00,274121.00,275030.00,276067.00,277732.00,278882.00,280230.00,281572.00,283113.00,285395.00,288150.00,291012.00,294941.00,298907.00,302252.00,304805.00,305643.00,306792.00,307772.00,308116.00,308375.00
19 Västmanland county,255478.00,258792.00,261592.00,262692.00,261173.00,260074.00,260132.00,259921.00,260164.00,260330.00,259692.00,259670.00,259538.00,258566.00,257783.00,256976.00,255691.00,254761.00,254423.00,254253.00,254847.00,256510.00,258487.00,259438.00,260096.00,260932.00,261753.00,261101.00,259987.00,258541.00,257661.00,256901.00,256889.00,257957.00,258912.00,260134.00,261005.00,261391.00,248489.00,249193.00,249974.00,251353.00,252756.00,254257.00,256224.00,259054.00,261703.00,264276.00,267629.00,271095.00,273929.00,275845.00,277141.00,278967.00,280713.00,280813.00,281158.00
20 Dalarna county,278996.00,278087.00,277056.00,277284.00,277453.00,278104.00,279159.00,281109.00,283350.00,284034.00,284490.00,285545.00,286968.00,286482.00,286278.00,285610.00,285113.00,283880.00,283191.00,283330.00,284407.00,286667.00,289067.00,290388.00,290245.00,290515.00,291203.00,289956.00,288171.00,285232.00,282898.00,280575.00,278259.00,277010.00,276636.00,276520.00,276042.00,275755.00,275711.00,275618.00,275867.00,276454.00,277047.00,276565.00,276555.00,277349.00,278903.00,281028.00,284531.00,286165.00,287191.00,287966.00,287676.00,288387.00,288310.00,287253.00,286546.00
21 Gävleborg county,293829.00,292762.00,293456.00,293601.00,292922.00,292021.00,292760.00,294412.00,294627.00,294412.00,294288.00,293959.00,294020.00,293657.00,292723.00,291497.00,290533.00,289153.00,287691.00,286907.00,287004.00,288223.00,289294.00,289339.00,289190.00,289612.00,289654.00,288509.00,286789.00,284636.00,282226.00,280717.00,279262.00,278171.00,277012.00,276866.00,276599.00,275994.00,275653.00,275556.00,275908.00,276220.00,276508.00,276130.00,276637.00,277970.00,279991.00,281815.00,284586.00,285637.00,286547.00,287382.00,287502.00,287767.00,287334.00,285642.00,284558.00
22 Västernorrland county,269516.00,267359.00,267403.00,267682.00,267620.00,267273.00,267608.00,268034.00,268237.00,268357.00,268110.00,267895.00,267935.00,267115.00,266038.00,264803.00,263598.00,262314.00,261089.00,260332.00,259964.00,260488.00,261155.00,261280.00,260829.00,260567.00,260295.00,258290.00,256587.00,254354.00,251884.00,249299.00,246903.00,245078.00,244319.00,244105.00,244195.00,243736.00,243978.00,243449.00,243372.00,243042.00,242625.00,242155.00,241981.00,242156.00,243061.00,243897.00,245572.00,245968.00,245453.00,245347.00,244554.00,244193.00,243265.00,242148.00,241458.00
23 Jämtland county,134673.00,132436.00,131289.00,131832.00,132252.00,132542.00,133044.00,133433.00,133752.00,134189.00,134420.00,134653.00,134934.00,134945.00,134865.00,134946.00,134731.00,134190.00,133543.00,133389.00,134116.00,134789.00,135726.00,136009.00,135910.00,136073.00,136301.00,135584.00,134561.00,133143.00,131766.00,130705.00,129566.00,128586.00,127947.00,127645.00,127424.00,127028.00,127020.00,126937.00,126897.00,126666.00,126691.00,126299.00,126201.00,126461.00,126765.00,127376.00,128673.00,129806.00,130280.00,130810.00,131155.00,132054.00,132670.00,132572.00,132839.00
24 Västerbotten county,234447.00,233543.00,233133.00,232856.00,233353.00,233865.00,234875.00,236397.00,237705.00,239247.00,240601.00,241898.00,243856.00,244789.00,245055.00,245252.00,245181.00,245255.00,245204.00,245703.00,247521.00,250134.00,251968.00,253835.00,255987.00,258171.00,259775.00,260472.00,259895.00,259163.00,257803.00,256710.00,255640.00,254818.00,255230.00,255956.00,256875.00,257652.00,257581.00,257593.00,257812.00,258548.00,259286.00,259667.00,260217.00,261112.00,262362.00,263378.00,265881.00,268465.00,270154.00,271736.00,273192.00,274563.00,276295.00,278729.00,281138.00
25 Norrbotten county,259513.00,256346.00,255360.00,256078.00,257332.00,259067.00,261548.00,264386.00,266113.00,266598.00,266329.00,266983.00,267054.00,266589.00,265347.00,264457.00,263684.00,262300.00,261039.00,260833.00,261536.00,262838.00,263735.00,264834.00,266089.00,267092.00,267648.00,266011.00,264320.00,262317.00,260473.00,258094.00,256238.00,254733.00,253632.00,252874.00,252585.00,251740.00,251886.00,250602.00,249677.00,249019.00,248609.00,248545.00,248637.00,249436.00,249987.00,249733.00,250570.00,251295.00,250497.00,250093.00,249614.00,249693.00,249177.00,248480.00,248620.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
